"ride_id","full_date","day_name","day_of_week","week_of_year","is_weekend","ride_city","region","country","driver_id","driver_name","driver_age","driver_city","experience_years","driver_avg_rating","active_status","promo_code","is_promotional","discount_percent","distance_km","duration_min","fare_usd","ride_rating","fare_per_km","fare_per_min"
1,"2024-11-11","Monday",1,46,False,"Miami","South","US",110,"Brittany Cruz",59,"New York",17,"4.90","Inactive","NO_PROMO",False,"0.0000","5.80",8,"11.01","3.80","1.8983","1.3763"
2,"2024-11-19","Tuesday",2,47,False,"Los Angeles","West","US",112,"Steven Williams",59,"New York",10,"4.50","Inactive","NO_PROMO",False,"0.0000","2.60",5,"5.69","4.80","2.1885","1.1380"
3,"2024-11-14","Thursday",4,46,False,"San Francisco","West","US",147,"Raymond Hill",38,"Chicago",16,"4.30","Inactive","WELCOME5",True,"0.0500","4.60",8,"8.95","4.50","1.9457","1.1188"
4,"2024-11-12","Tuesday",2,46,False,"Chicago","Midwest","US",120,"Andrew Heath",26,"Los Angeles",3,"4.20","Active","SAVE20",True,"0.2000","26.50",46,"54.88","4.70","2.0709","1.1930"
5,"2024-11-07","Thursday",4,45,False,"San Francisco","West","US",193,"Jason Adams",44,"Los Angeles",11,"4.30","Active","DISCOUNT10",True,"0.1000","15.90",26,"20.45","4.20","1.2862","0.7865"
6,"2024-11-16","Saturday",6,46,True,"Chicago","Midwest","US",119,"April Rodriguez",44,"Chicago",4,"5.00","Active","NO_PROMO",False,"0.0000","34.40",77,"90.25","4.90","2.6235","1.1721"
7,"2024-11-27","Wednesday",3,48,False,"San Francisco","West","US",144,"Valerie Henry MD",47,"San Francisco",12,"4.80","Inactive","WELCOME5",True,"0.0500","29.50",48,"58.48","3.70","1.9824","1.2183"
8,"2024-11-28","Thursday",4,48,False,"Miami","South","US",137,"Steven Alexander",47,"Los Angeles",20,"4.10","Active","SAVE20",True,"0.2000","33.10",55,"41.67","4.00","1.2589","0.7576"
9,"2024-11-06","Wednesday",3,45,False,"New York","Northeast","US",200,"Amy Guzman",36,"New York",20,"4.30","Active","SAVE20",True,"0.2000","38.10",81,"59.02","4.30","1.5491","0.7286"
10,"2024-11-07","Thursday",4,45,False,"Los Angeles","West","US",119,"April Rodriguez",44,"Chicago",4,"5.00","Active","DISCOUNT10",True,"0.1000","27.60",56,"39.41","3.80","1.4279","0.7038"
11,"2024-11-20","Wednesday",3,47,False,"Miami","South","US",170,"Erik Greene",37,"Chicago",20,"5.00","Inactive","WELCOME5",True,"0.0500","29.30",47,"82.09","4.80","2.8017","1.7466"
12,"2024-11-18","Monday",1,47,False,"New York","Northeast","US",144,"Valerie Henry MD",47,"San Francisco",12,"4.80","Inactive","NO_PROMO",False,"0.0000","16.00",29,"30.92","3.70","1.9325","1.0662"
13,"2024-11-28","Thursday",4,48,False,"San Francisco","West","US",161,"Thomas Watson",54,"Los Angeles",9,"4.40","Active","SAVE20",True,"0.2000","11.40",18,"10.58","3.90","0.9281","0.5878"
